Representative_Sequence	total_reads	total_reads_nc	total_reads_non_nc	perc_reads_in_nc	total_samp	num_nc_samp	num_non_nc_samp	perc_nc_samp
M06508_9_000000000-JTBW3_1_1104_19797_22086	2	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1104_8300_22545	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1104_14323_25160	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2106_15895_28859	34037	1	34036	0.002938	19	1	18	5.263157894736842
M06508_9_000000000-JTBW3_1_1104_15868_28728	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1105_19265_14012	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1105_19464_19155	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1105_5424_22948	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_24399_13860	3	1	2	33.333333	3	1	2	33.33333333333333
M06508_9_000000000-JTBW3_1_1106_18237_11737	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1106_9776_15653	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1106_23262_17533	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1107_15818_12396	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1107_21799_13226	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1107_13548_14907	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_29052_13946	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_20756_16269	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_22330_19797	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1109_21485_5227	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1109_23951_14573	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1110_6041_16403	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1110_11274_19787	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1110_17929_19894	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_17921_16157	625	91	534	14.56	23	1	22	4.3478260869565215
M06508_9_000000000-JTBW3_1_1110_17793_26468	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1111_15302_17826	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1111_22934_24890	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1112_20563_20025	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1112_25004_21932	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1113_24040_8106	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1114_12870_6048	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1114_12101_8982	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1114_26323_14879	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1114_27701_15731	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2101_11549_8466	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2101_14212_8533	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2101_3569_8545	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2101_22524_10684	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2101_21551_13914	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2101_27914_18824	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2102_21041_11970	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2103_21624_11044	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2104_12364_12151	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2105_3959_17331	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2105_17594_24578	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2106_12367_2376	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2106_12128_9183	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2107_10917_3362	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2107_9936_3724	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2107_25697_24362	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_14792_16684	22475	1	22474	0.004449	422	1	421	0.23696682464454977
M06508_9_000000000-JTBW3_1_2108_22912_6889	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2104_17293_22598	11862	3	11859	0.025291	113	2	111	1.7699115044247788
M06508_9_000000000-JTBW3_1_2109_16624_2722	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2109_23228_9962	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2109_28110_14570	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2109_9646_18354	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2110_17698_16680	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2110_17430_24133	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2110_7867_24537	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2105_21292_23961	12458	1	12457	0.008027	314	1	313	0.3184713375796179
M06508_9_000000000-JTBW3_1_2111_4867_11965	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2111_21902_14995	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2114_23756_8932	1102	143	959	12.976407	101	2	99	1.9801980198019802
M06508_9_000000000-JTBW3_1_2112_13371_20628	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2112_8626_24442	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2113_3896_12105	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2113_20474_18050	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2114_4302_16808	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1101_19632_2952	234	220	14	94.017094	3	1	2	33.33333333333333
M06508_9_000000000-JTBW3_1_1101_17090_4498	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1102_19512_18010	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1102_15119_27132	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1104_21434_2864	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1104_13907_12524	45	45	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1104_16828_15247	131	10	121	7.633588	14	1	13	7.142857142857142
M06508_9_000000000-JTBW3_1_1105_7464_26110	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1106_12201_11244	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1106_27123_13662	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1106_4427_16316	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1106_24563_19186	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1107_12277_3225	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1107_24247_23443	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_23941_9361	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_11016_9466	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_26888_13943	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_7439_22574	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_11761_23177	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1102_17652_14664	8563	737	7826	8.606797	257	2	255	0.7782101167315175
M06508_9_000000000-JTBW3_1_2101_21198_12600	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2102_26443_9603	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2103_20542_16153	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2106_17341_19264	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2107_11574_13925	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2108_20218_6127	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2108_9134_18103	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2108_5058_23569	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2110_6691_6135	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2112_21591_22425	2	2	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2113_7380_12325	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2114_27065_17958	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_6281_17020	93	64	29	68.817204	10	1	9	10
M06508_9_000000000-JTBW3_1_1107_22065_22514	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_23703_13972	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1110_14130_26554	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1111_21831_17093	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1104_14451_19599	191	29	162	15.183246	38	2	36	5.263157894736842
M06508_9_000000000-JTBW3_1_2111_13486_14893	68399	1	68398	0.001462	101	1	100	0.9900990099009901
M06508_18_000000000-CNPPR_1_1105_3911_11435	1361	1	1360	0.073475	100	1	99	1
M06508_9_000000000-JTBW3_1_1101_27973_9759	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2103_24500_25855	33644	1	33643	0.002972	175	1	174	0.5714285714285714
M06508_9_000000000-JTBW3_1_1105_20197_27732	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1107_24264_5812	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1107_21336_14780	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_25869_20287	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2104_15693_1957	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_12965_21846	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1113_13209_13676	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_22165_11818	325833	1	325832	3.07e-4	157	1	156	0.6369426751592357
M06508_19_000000000-CR8CR_1_2109_13146_6722	10689	1	10688	0.009355	267	1	266	0.37453183520599254
M06508_9_000000000-JTBW3_1_2107_6267_13949	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2108_19294_3918	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2108_12581_12074	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2108_8131_23093	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2109_24189_16841	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2113_17042_7732	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1102_14437_2135	3886	3748	138	96.448791	19	5	14	26.31578947368421
M06508_9_000000000-JTBW3_1_1102_16955_3343	109	109	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1102_20554_5154	456	50	406	10.964912	36	1	35	2.7777777777777777
M06508_9_000000000-JTBW3_1_1102_19536_7138	3562	3419	143	95.985401	12	3	9	25
M06508_9_000000000-JTBW3_1_1104_17835_16988	27	27	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1104_9623_24954	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_20257_17106	1360	97	1263	7.132353	86	1	85	1.1627906976744187
M06508_9_000000000-JTBW3_1_1106_14958_12523	9	9	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_5429_7711	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_5152_10494	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_7814_14538	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_2493_15397	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2103_22928_19359	22	21	1	95.454545	2	1	1	50
M06508_9_000000000-JTBW3_1_2101_3393_10402	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2101_26165_17838	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1111_6584_12937	189608	1	189607	5.27e-4	85	1	84	1.1764705882352942
M06508_9_000000000-JTBW3_1_2104_20169_14107	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2106_29209_13508	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2108_11555_4509	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2107_14357_26395	14240	1084	13156	7.61236	339	5	334	1.4749262536873156
M06508_9_000000000-JTBW3_1_2109_22426_23816	2532	1	2531	0.039494	6	1	5	16.666666666666664
M06508_9_000000000-JTBW3_1_2111_19180_23515	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2113_25669_19836	2	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2113_24853_16120	962	1	961	0.10395	57	1	56	1.7543859649122806
M06508_12_000000000-CJG44_1_1101_11578_2502	14853	457	14396	3.076819	376	1	375	0.26595744680851063
M06508_12_000000000-CJG44_1_1101_10889_2660	1920	670	1250	34.895833	86	2	84	2.3255813953488373
M06508_12_000000000-CJG44_1_1101_12643_4511	50	50	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1101_21800_5151	109	93	16	85.321101	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_1101_19789_5954	1136	298	838	26.232394	21	1	20	4.761904761904762
M06508_12_000000000-CJG44_1_1101_16697_5978	366	366	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1101_8069_6398	1366	416	950	30.45388	52	2	50	3.8461538461538463
M06508_12_000000000-CJG44_1_1101_6080_8794	322	125	197	38.819876	19	1	18	5.263157894736842
M06508_12_000000000-CJG44_1_1101_26068_9582	128	128	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_7613_11924	4792	1	4791	0.020868	46	1	45	2.1739130434782608
M06508_12_000000000-CJG44_1_1102_9081_20087	13	13	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1102_12144_27772	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1103_14810_6445	33	33	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1104_20588_9710	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1104_13454_18115	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2108_26166_22119	4	2	2	50	4	2	2	50
M06508_12_000000000-CJG44_1_1105_18182_3981	3	3	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1105_4303_8955	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1105_17434_11189	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1105_6301_12287	3	2	1	66.666667	2	1	1	50
M06508_12_000000000-CJG44_1_1105_26782_20194	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1105_9912_23038	19	1	18	5.263158	12	1	11	8.333333333333332
M06508_12_000000000-CJG44_1_1105_11951_25770	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1106_8108_10633	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1106_26173_10953	1053	39	1014	3.703704	75	1	74	1.3333333333333335
M06508_12_000000000-CJG44_1_1106_15054_13657	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1106_13184_18798	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1106_7515_23592	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2101_16146_4309	97305	1	97304	0.001028	35	1	34	2.857142857142857
M06508_18_000000000-CNPPR_1_2102_3910_16956	77	28	49	36.363636	22	2	20	9.090909090909092
M06508_18_000000000-CNPPR_1_2109_18998_12270	1337	51	1286	3.81451	37	1	36	2.7027027027027026
M06508_18_000000000-CNPPR_1_2109_27911_12687	33	1	32	3.030303	16	1	15	6.25
M06508_12_000000000-CJG44_1_1109_13394_8573	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1109_28001_17326	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1109_7059_19932	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1110_2691_13117	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1110_20581_25461	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1111_23989_9138	2	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1111_12543_11774	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1111_25665_12922	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1111_10933_21826	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2109_15446_26264	10	1	9	10	10	1	9	10
M06508_8_000000000-JTFYW_1_2108_13728_8463	31058	1	31057	0.00322	337	1	336	0.2967359050445104
M06508_12_000000000-CJG44_1_1112_7227_10209	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1112_17050_18181	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1112_4981_23438	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1113_21176_7833	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1113_26226_8686	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1113_28876_14732	3789	1	3788	0.026392	178	1	177	0.5617977528089888
M06508_12_000000000-CJG44_1_1113_20393_18112	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1114_6230_5809	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1114_18605_27565	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1114_18737_28804	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2101_10378_8303	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2101_18925_19231	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2102_24198_7358	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2102_16275_13919	2	2	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2102_6772_20233	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2103_14207_3958	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2103_20124_22433	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2104_19371_22573	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2104_10652_23927	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2105_25288_7617	17	1	16	5.882353	3	1	2	33.33333333333333
M06508_12_000000000-CJG44_1_2105_12406_14587	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2106_6933_25279	12	1	11	8.333333	6	1	5	16.666666666666664
M06508_18_000000000-CNPPR_1_2111_9911_14982	459506	7	459499	0.001523	170	3	167	1.7647058823529411
M06508_12_000000000-CJG44_1_2107_19674_27527	2	2	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2110_8942_11521	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2110_21737_12044	24485	2	24483	0.008168	47	2	45	4.25531914893617
M06508_12_000000000-CJG44_1_2110_9682_15132	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2110_16904_15821	10	1	9	10	5	1	4	20
M06508_12_000000000-CJG44_1_2110_20739_27317	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2112_24904_20473	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2112_12638_26331	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2113_20108_11777	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_2113_11623_16156	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1101_21409_14678	36	36	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1102_18857_14187	460	81	379	17.608696	10	1	9	10
M06508_18_000000000-CNPPR_1_2113_18956_18077	7530	1	7529	0.01328	73	1	72	1.36986301369863
M06508_9_000000000-JTBW3_1_1105_16840_9925	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1105_4698_17126	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1108_20879_21218	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1113_2252_15637	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_1105_14854_13559	50671	4	50667	0.007894	36	1	35	2.7777777777777777
